space	type	recall_mean	trust_mean	cont_mean	knn_acc_mean	silhouette
PCA 2 - Full	unsupervised	0.39	0.8757	0.9248		
PCA 2 - PCA50	unsupervised	0.3848	0.8777	0.918		
UMAP 2 - Full	unsupervised	0.5749	0.9566	0.9634		
UMAP 2 - PCA50	unsupervised	0.5822	0.9665	0.9609		
t-SNE 2 - Full	unsupervised	0.7141	0.9678	0.9709		
t-SNE 2 - PCA50	unsupervised	0.7162	0.9726	0.9671		
Full 1024-d	supervised				0.5778	-0.0101
PCA-50	supervised				0.574	0.0328
PCA 2	supervised				0.4236	-0.3598
UMAP 2	supervised				0.5491	-0.268
t-SNE 2	supervised				0.5737	-0.1666
