space	type	recall_mean	trust_mean	cont_mean	knn_acc_mean	silhouette
RHOPCA 2 - Full	unsupervised	0.1838	0.9402	0.9641		
RHOPCA 2 - PCA50	unsupervised	0.1842	0.9412	0.9644		
PCA 2 - Full	unsupervised	0.2334	0.9538	0.9732		
PCA 2 - PCA50	unsupervised	0.2327	0.9549	0.9734		
UMAP 2 - Full	unsupervised	0.4579	0.9896	0.9931		
UMAP 2 - PCA50	unsupervised	0.4513	0.9906	0.9926		
t-SNE 2 - Full	unsupervised	0.6551	0.9941	0.9944		
t-SNE 2 - PCA50	unsupervised	0.6346	0.9945	0.9938		
Full 1024-d	supervised				0.9513	0.2298
PCA-50	supervised				0.9492	0.232
RHOPCA 2	supervised				0.6338	-0.0541
PCA 2	supervised				0.6927	-0.2326
UMAP 2	supervised				0.9332	0.0948
t-SNE 2	supervised				0.9481	-0.0262
