space	type	recall_mean	trust_mean	cont_mean	knn_acc_mean	silhouette
RHOPCA 2 - Full	unsupervised	0.149	0.9459	0.965		
RHOPCA 2 - PCA50	unsupervised	0.1489	0.9465	0.9651		
PCA 2 - Full	unsupervised	0.1962	0.9553	0.9729		
PCA 2 - PCA50	unsupervised	0.1968	0.956	0.9733		
UMAP 2 - Full	unsupervised	0.4469	0.9892	0.9924		
UMAP 2 - PCA50	unsupervised	0.4379	0.99	0.9918		
t-SNE 2 - Full	unsupervised	0.6404	0.9934	0.9931		
t-SNE 2 - PCA50	unsupervised	0.6175	0.9939	0.9926		
Full 1024-d	supervised				0.857	-0.0044
PCA-50	supervised				0.8473	0.0018
RHOPCA 2	supervised				0.4708	-0.5505
PCA 2	supervised				0.5286	-0.7075
UMAP 2	supervised				0.8214	-0.425
t-SNE 2	supervised				0.8515	-0.4747
