Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A044RE18	reviewed	BLI_ONCVO	Endoprotease bli (EC 3.4.21.75) (Blisterase)	Bli	Onchocerca volvulus	693
A0A088MIT0	reviewed	BRKP2_PHYNA	Bradykinin-related peptides [Cleaved into: Nattererimorphin; [Val1,Thr6]-bradykinyl-Ser,Pro,Ala; Bradykinin; Des-Arg9-bradykinin; [Hyp3]-bradykinyl-Val,Asp]	BBN	Physalaemus nattereri (Cuyaba dwarf frog) (Eupemphix nattereri)	134
A0A0A1I6E7	reviewed	NDB4S_ANDCR	Antimicrobial peptide AcrAP1		Androctonus crassicauda (Arabian fat-tailed scorpion)	74
A0A0A1I6N9	reviewed	NDB4T_ANDCR	Antimicrobial peptide AcrAP2		Androctonus crassicauda (Arabian fat-tailed scorpion)	74
A0A0B4J1G0	reviewed	FCG3A_MOUSE	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-2) (FcgammaRIV) (CD antigen CD16a)	Fcgr4 Fcgr3a	Mus musculus (Mouse)	249
A0A0B4J1N3	reviewed	GP15L_MOUSE	Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L)	Gpr15lg Gpr15l	Mus musculus (Mouse)	78
A0A0B4U9L8	reviewed	VMF1_VIPAA	Zinc metalloproteinase-disintegrin-like protein F1 (EC 3.4.24.-) (Fibrinogenase 1) (Metalloproteinase F1) (P-IIIa metalloproteinase F1) (Snake venom metalloproteinase) (SVMP) (VaF1)		Vipera ammodytes ammodytes (Western sand viper)	614
A0A0B5A8P4	reviewed	INS3A_CONGE	Con-Ins G3 (Insulin 3) [Cleaved into: Con-Ins G3 B chain; Con-Ins G3 A chain]		Conus geographus (Geography cone) (Nubecula geographus)	113
A0A0B5AC95	reviewed	INS1A_CONGE	Con-Ins G1a (Insulin 1) [Cleaved into: Con-Ins G1 B chain; Con-Ins G1a A chain]		Conus geographus (Geography cone) (Nubecula geographus)	115
A0A0B7P9G0	reviewed	UEX_DROME	Unextended protein (Putative metal transporter uex)	uex 41Ad GroupIII l(2)41Ad CG42595	Drosophila melanogaster (Fruit fly)	834
A0A0D4WTV1	reviewed	B1D1_LOXAR	Dermonecrotic toxin LarSicTox-betaID1 (EC 4.6.1.-) (Phospholipase D) (PLD) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D)		Loxosceles arizonica (Arizona brown spider)	289
A0A0D9S1R0	reviewed	APOE_CHLSB	Apolipoprotein E (Apo-E)	APOE	Chlorocebus sabaeus (Green monkey) (Simia sabaea)	323
A0A0G2KQY6	reviewed	S39AE_DANRE	Metal cation symporter ZIP14 (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)	slc39a14 zip14	Danio rerio (Zebrafish) (Brachydanio rerio)	494
A0A0K1YW63	reviewed	SECP_APICE	Secapin (AcSecapin-1) (Secapin-1)		Apis cerana (Indian honeybee)	115
A0A0K2S4Q6	reviewed	CD3CH_HUMAN	Protein CD300H (CD300 antigen-like family member H)	CD300H	Homo sapiens (Human)	201
A0A0K3AWM6	reviewed	MOM5_CAEEL	Protein mom-5	mom-5 T23D8.1	Caenorhabditis elegans	570
A0A0L8FVQ9	reviewed	CRT1_OCTBM	Chemotactile receptor for terpenes 1 (CRT1)	OCBIM_22006518mg	Octopus bimaculoides (California two-spotted octopus)	399
A0A0N7CSQ4	reviewed	TX41A_SCOMU	Tau-scoloptoxin(04)-Ssm1b (Tau-SLPTX(04)-Ssm1b) (Toxin RhTx2) [Cleaved into: Tau-scoloptoxin(04)-Ssm1a (Tau-SLPTX(04)-Ssm1a) (Toxin RhTx)]		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	68
A0A0N9E2K8	reviewed	MMP21_DANRE	Matrix metallopeptidase-21 (MMP-21) (EC 3.4.24.-)	mmp21	Danio rerio (Zebrafish) (Brachydanio rerio)	599
A0A0P6JG37	reviewed	ASAH1_HETGA	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	ASAH1	Heterocephalus glaber (Naked mole rat)	395
A0A0R4IKU3	reviewed	RECK_DANRE	Reversion-inducing cysteine-rich protein with Kazal motifs	reck	Danio rerio (Zebrafish) (Brachydanio rerio)	955
A0A0R4IVV0	reviewed	MTP_DANRE	Microsomal triglyceride transfer protein large subunit	mttp mtp	Danio rerio (Zebrafish) (Brachydanio rerio)	884
A0A0U1RPR8	reviewed	GUC2D_MOUSE	Guanylate cyclase D (EC 4.6.1.2)	Gucy2d	Mus musculus (Mouse)	1117
A0A126GUP6	reviewed	MP1_DROME	Melanization protease 1 (EC 3.4.21.-)	MP1 CG1102	Drosophila melanogaster (Fruit fly)	400
A0A131MCZ8	reviewed	CNNM3_CAEEL	Metal transporter cnnm-3 (CNNM family homolog 3)	cnnm-3 C33D12.2	Caenorhabditis elegans	797
A0A144LUY5	reviewed	CTCN1_ECHES	Centrocin 1 (EeCentrocin 1) [Cleaved into: Centrocin 1, heavy chain; Centrocin 1, light chain]		Echinus esculentus (Sea urchin)	119
A0A193CHJ5	reviewed	PA2BC_CROTA	Phospholipase A2 crotoxin basic subunit CBc (CB1) (CTX subunit CBc) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus tzabcan (Yucatan neotropical rattlesnake) (Crotalus simus tzabcan)	138
A0A1B0GTW7	reviewed	CIROP_HUMAN	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	CIROP LMLN2	Homo sapiens (Human)	788
A0A1D1VU85	reviewed	SODC_RAMVA	Superoxide dismutase [Cu-Zn] (CuZnSOD) (EC 1.15.1.1) (RvSOD15)	RvY_13070	Ramazzottius varieornatus (Water bear) (Tardigrade)	194
A0A1D5NSK0	reviewed	CIROP_DANRE	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	cirop si:ch211-216p19.5	Danio rerio (Zebrafish) (Brachydanio rerio)	623
A0A1D5NSM8	reviewed	SVEP1_DANRE	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)	svep1	Danio rerio (Zebrafish) (Brachydanio rerio)	3615
A0A1D5NY17	reviewed	TM182_CHICK	Transmembrane protein 182	TMEM182	Gallus gallus (Chicken)	233
A0A1D5PUP4	reviewed	RECK_CHICK	Reversion-inducing cysteine-rich protein with Kazal motifs	RECK	Gallus gallus (Chicken)	963
A0A1L4BJ46	reviewed	HEMI1_HEMLE	Phospholipase A2 hemilipin (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A(2)) [Cleaved into: Phospholipase A2 large subunit; Phospholipase A2 small subunit]		Hemiscorpius lepturus (Scorpion)	232
