id	accession	length	mature_length	signal_peptide_end	has_signal_peptide	n_cysteines	mature_n_cysteines	organism	taxonomy_id	protein_name	gene_name	interpro_domains
sp|A0A0B4J184|T3A_TERVA	A0A0B4J184	21	21	0	False	6	6.0	Neoterebra variegata	3244988	Venom peptide Tv1		
sp|A0A6G9KHD3|TX12A_MANRB	A0A6G9KHD3	14	-9	23	True	0		Manica rubida	219785	U12-myrmicitoxin-Mri1a		
sp|B3A0N1|VPA_BOTAT	B3A0N1	15	15	0	False	1	1.0	Bothrops atrox	8725	Venom prothrombin activator		IPR014760
sp|B3EWG8|PA2A_PORNA	B3EWG8	10	10	0	False	0	0.0	Porthidium nasutum	74558	Acidic phospholipase A2 PnPLA2		
sp|B3EWH2|AON_AZEFE	B3EWH2	21	21	0	False	0	0.0	Azemiops feae	8773	Azemiopsin		
sp|B3EWQ8|PA2_BUNFA	B3EWQ8	16	16	0	False	0	0.0	Bungarus fasciatus	8613	Phospholipase A2 BF-CT1		
sp|B3EWR3|3SAW_NAJNA	B3EWR3	10	10	0	False	1	1.0	Naja naja	35670	Cytotoxin NN-32		
sp|B3EWU4|TXS1D_CUPSA	B3EWU4	15	15	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-1d		IPR035164
sp|B3EWU5|TXS1E_CUPSA	B3EWU5	15	15	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-1e		IPR035164
sp|B3EWU6|TXS1F_CUPSA	B3EWU6	9	9	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-1f		
sp|B3EWU7|TXS4E_CUPSA	B3EWU7	9	9	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-4e		
sp|B3EWU8|TXS1G_CUPSA	B3EWU8	9	9	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-1g		
sp|B3EWV0|TXS5A_CUPSA	B3EWV0	17	17	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-5a		
sp|B3EWV5|TXS3A_CUPSA	B3EWV5	20	20	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-3a		IPR035164
sp|B3EWV8|TXS4A_CUPSA	B3EWV8	20	20	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-4a		IPR035164
sp|B3EWV9|TXS4B_CUPSA	B3EWV9	20	20	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-4b		IPR035164
sp|B3EWW0|TXS4C_CUPSA	B3EWW0	20	20	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-4c		IPR035164
sp|B3EWW1|TXS4D_CUPSA	B3EWW1	20	20	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-4d		IPR035164
sp|B3EWW2|TXS4F_CUPSA	B3EWW2	9	9	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-4f		
sp|B3EWW3|TXC7A_CUPSA	B3EWW3	17	17	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-7a		
sp|B3EWW4|TXC7B_CUPSA	B3EWW4	17	17	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-7b		
sp|B3EWW5|TXC6A_CUPSA	B3EWW5	21	21	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-6a		
sp|B3EWW6|TXC6B_CUPSA	B3EWW6	21	21	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-6b		
sp|B3EWW7|TXC6C_CUPSA	B3EWW7	21	21	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-6c		
sp|B3EWW8|TXC6D_CUPSA	B3EWW8	21	21	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-6d		
sp|B3EWW9|TXC6E_CUPSA	B3EWW9	21	21	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-6e		
sp|B3EWX0|TXS6A_CUPSA	B3EWX0	20	20	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-6a		
sp|B3EWX1|TXC6F_CUPSA	B3EWX1	20	20	0	False	0	0.0	Cupiennius salei	6928	Cupiennin-6f		
sp|B3EWX2|TXS6B_CUPSA	B3EWX2	19	19	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-6b		
sp|B3EWX3|TXS6C_CUPSA	B3EWX3	13	13	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-6c		
sp|B3EWX4|TXS6D_CUPSA	B3EWX4	12	12	0	False	0	0.0	Cupiennius salei	6928	Short cationic peptide-6d		
sp|C0HJD9|K6TX1_ACTBE	C0HJD9	17	17	0	False	4	4.0	Actinia bermudensis	1078900	Potassium channel toxin AbeTx1		
sp|C0HJM7|TXL1_PHOPT	C0HJM7	10	10	0	False	1	1.0	Phoneutria pertyi	1526577	Toxin Tx1		
sp|C0HJT2|NDBP8_TITSE	C0HJT2	5	5	0	False	0	0.0	Tityus serrulatus	6887	Venom peptide 8		
sp|C0HJY4|PON1A_ANOEM	C0HJY4	16	16	0	False	4	4.0	Anochetus emarginatus	486636	U1-poneritoxin-Ae1a		
sp|C0HJY5|PON1B_ANOEM	C0HJY5	18	18	0	False	4	4.0	Anochetus emarginatus	486636	U1-poneritoxin-Ae1b		
sp|C0HJY6|PON1C_ANOEM	C0HJY6	18	18	0	False	4	4.0	Anochetus emarginatus	486636	U1-poneritoxin-Ae1c		
sp|C0HJY7|PON1D_ANOEM	C0HJY7	18	18	0	False	4	4.0	Anochetus emarginatus	486636	U1-poneritoxin-Ae1d		
sp|C0HJY8|PON1E_ANOEM	C0HJY8	18	18	0	False	4	4.0	Anochetus emarginatus	486636	U1-poneritoxin-Ae1e		
sp|C0HJY9|PON1F_ANOEM	C0HJY9	19	19	0	False	4	4.0	Anochetus emarginatus	486636	U1-poneritoxin-Ae1f		
sp|C0HJZ0|PON1G_ANOEM	C0HJZ0	18	18	0	False	4	4.0	Anochetus emarginatus	486636	U1-poneritoxin-Ae1g		
sp|C0HKA7|BRKP3_PHYNA	C0HKA7	11	11	0	False	0	0.0	Physalaemus nattereri	248869	[Thr6]-phyllokinin		
