Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A026W182	reviewed	ORCO_OOCBI	Odorant receptor coreceptor	Orco X777_12371	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	478
A0A061ACU2	reviewed	PIEZ1_CAEEL	Piezo-type mechanosensitive ion channel component 1	pezo-1 C10C5.1	Caenorhabditis elegans	2442
A0A061I403	reviewed	FICD_CRIGR	Protein adenylyltransferase FICD (EC 2.7.7.108) (AMPylator FICD) (De-AMPylase FICD) (EC 3.1.4.-) (FIC domain-containing protein) (Huntingtin-interacting protein E)	FICD HYPE H671_4g11989 I79_014982	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	455
A0A068B6Q6	reviewed	CA18_CONBE	Conotoxin Bt1.8		Conus betulinus (Beech cone)	37
A0A075F932	reviewed	SYT1_ANSCY	Synaptotagmin-1 (Synaptotagmin I) (SytI)	SYT1	Anser cygnoides (Swan goose)	421
A0A087WPF7	reviewed	AUTS2_MOUSE	Autism susceptibility gene 2 protein homolog	Auts2 Kiaa0442	Mus musculus (Mouse)	1261
A0A087X1C5	reviewed	CP2D7_HUMAN	Cytochrome P450 2D7 (EC 1.14.14.1)	CYP2D7	Homo sapiens (Human)	515
A0A088MLT8	reviewed	IQIP1_MOUSE	IQCJ-SCHIP1 readthrough transcript protein	Iqcj-Schip1 Iqschfp Schip1	Mus musculus (Mouse)	559
A0A096LP01	reviewed	SIM26_HUMAN	Small integral membrane protein 26	SMIM26 LINC00493	Homo sapiens (Human)	95
A0A096MJN4	reviewed	SEPT4_RAT	Septin-4 (Apoptosis-related protein in the TGF-beta signaling pathway) (Arts) (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	Septin4 Arts Bh5 Gm11492 Pnut12 Sep4 Sept4	Rattus norvegicus (Rat)	459
A0A096MJY4	reviewed	MEF2C_RAT	Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C)	Mef2c	Rattus norvegicus (Rat)	473
A0A096MK47	reviewed	MLIP_RAT	Muscular LMNA-interacting protein (Cardiac Isl1-interacting protein) (CIP)	Mlip Cip	Rattus norvegicus (Rat)	966
A0A0B4J1F4	reviewed	ARRD4_MOUSE	Arrestin domain-containing protein 4	Arrdc4	Mus musculus (Mouse)	415
A0A0B4J2F0	reviewed	PIOS1_HUMAN	Protein PIGBOS1 (PIGB opposite strand protein 1)	PIGBOS1	Homo sapiens (Human)	54
A0A0B4K692	reviewed	NEP2_DROME	Neprilysin-2 (EC 3.4.24.11) [Cleaved into: Neprilysin-2, soluble form]	Nep2 CG9761	Drosophila melanogaster (Fruit fly)	774
A0A0B4K7J2	reviewed	RBP2_DROME	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358)	Nup358 RanBP2 CG11856	Drosophila melanogaster (Fruit fly)	2718
A0A0B4K7K9	reviewed	ERC_DROME	Protein bruchpilot (Cytomatrix at the active zone associated structural protein) (Cytoskeletal matrix associated with the active zone-associated structural protein) (CAZ-associated structural protein) (ELKS-CAST-ERC homolog)	brp Cast nc82 CG42344	Drosophila melanogaster (Fruit fly)	2238
A0A0B4KEE4	reviewed	KOI_DROME	Klaroid protein	koi CG44154	Drosophila melanogaster (Fruit fly)	965
A0A0B4KGY6	reviewed	NOVA_DROME	RNA-binding protein Pasilla	ps l(3)10615 NOVA1 CG42670	Drosophila melanogaster (Fruit fly)	780
A0A0B4LFY9	reviewed	STING_DROME	Stimulator of interferon genes protein homolog (dSTING) (dmSTING)	Sting CG1667	Drosophila melanogaster (Fruit fly)	343
A0A0C5B5G6	reviewed	MOTSC_HUMAN	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)	MT-RNR1	Homo sapiens (Human)	16
A0A0C5PHQ7	reviewed	ELOV5_TACFU	Very long chain fatty acid elongase 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Elongation of very long chain fatty acids protein 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	ELOVL5 ELO	Tachysurus fulvidraco (Yellow catfish) (Pimelodus fulvidraco)	294
A0A0D4WV12	reviewed	BIB11_SICTE	Dermonecrotic toxin StSicTox-betaIB1i (EC 4.6.1.-) (Phospholipase D) (PLD) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D)		Sicarius terrosus (Cave spider)	279
A0A0G2JDV3	reviewed	GBP6_MOUSE	Guanylate-binding protein 6 (EC 3.6.5.-) (GTP-binding protein 6) (GBP-6) (Guanine nucleotide-binding protein 6) (Macrophage activation 2 like protein)	Gbp6 Mpa2l	Mus musculus (Mouse)	611
A0A0G2JTR4	reviewed	ABR_RAT	Active breakpoint cluster region-related protein	Abr	Rattus norvegicus (Rat)	859
A0A0G2JTY4	reviewed	NFAC3_RAT	Nuclear factor of activated T-cells, cytoplasmic 3 (NFATc3) (NFATx) (T-cell transcription factor NFAT4)	Nfatc3 Nfat4	Rattus norvegicus (Rat)	1076
A0A0G2JTZ2	reviewed	SOX6_RAT	Transcription factor SOX-6	Sox6 Sox-6	Rattus norvegicus (Rat)	827
A0A0G2JUG7	reviewed	IQEC1_RAT	IQ motif and SEC7 domain-containing protein 1	Iqsec1 Brag2	Rattus norvegicus (Rat)	962
A0A0G2JV04	reviewed	GGA3_RAT	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)	Gga3	Rattus norvegicus (Rat)	727
A0A0G2JXN2	reviewed	TRI46_RAT	Tripartite motif-containing protein 46	Trim46	Rattus norvegicus (Rat)	759
A0A0G2JXT6	reviewed	MTMR6_RAT	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR6 (EC 3.1.3.95) (Myotubularin-related protein 6) (Phosphatidylinositol-3-phosphate phosphatase)	Mtmr6	Rattus norvegicus (Rat)	655
A0A0G2JZ79	reviewed	SIR1_RAT	NAD-dependent protein deacetylase sirtuin-1 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	Sirt1	Rattus norvegicus (Rat)	741
A0A0G2K047	reviewed	ACSS3_RAT	Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 3) (Acyl-CoA synthetase short-chain family member 3) (Propionate--CoA ligase) (EC 6.2.1.17)	Acss3	Rattus norvegicus (Rat)	683
A0A0G2K1Q8	reviewed	ABCA3_RAT	Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form]	Abca3	Rattus norvegicus (Rat)	1704
A0A0G2K2P5	reviewed	ZO1_RAT	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	Tjp1	Rattus norvegicus (Rat)	1765
A0A0G2K309	reviewed	ORNT1_RAT	Mitochondrial ornithine transporter 1 (Solute carrier family 25 member 15)	Slc25a15	Rattus norvegicus (Rat)	301
A0A0G2K344	reviewed	PK3CA_RAT	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	Pik3ca	Rattus norvegicus (Rat)	1068
A0A0G2K5B0	reviewed	TBC24_RAT	TBC1 domain family member 24	Tbc1d24	Rattus norvegicus (Rat)	562
A0A0G2KTI4	reviewed	S12A2_DANRE	Solute carrier family 12 member 2 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (BSC2) (Na-K-Cl cotransporter 1) (NKCC1)	slc12a2 nkcc1	Danio rerio (Zebrafish) (Brachydanio rerio)	1136
A0A0G2L7I0	reviewed	SPRTN_DANRE	DNA-dependent metalloprotease SPRTN (EC 3.4.24.-) (Protein with SprT-like domain at the N terminus) (Spartan)	sprtn	Danio rerio (Zebrafish) (Brachydanio rerio)	636
A0A0G2QC33	reviewed	ATG4B_RAT	Cysteine protease ATG4B (EC 3.4.22.-) (Autophagy-related protein 4 homolog B)	Atg4b	Rattus norvegicus (Rat)	393
A0A0G2UGT2	reviewed	LEC_MYTTR	D-galactose-binding lectin (GalNAc/Gal-specific lectin) (MTL)		Mytilus trossulus (Blue mussel)	150
A0A0K0JFP3	reviewed	HXK_BRUMA	Hexokinase (BmHK) (EC 2.7.1.1)	Bm4678	Brugia malayi (Filarial nematode worm)	572
A0A0K0MJN3	reviewed	FABP4_PYGPA	Fatty acid-binding protein, adipocyte (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (AFABP) (Fatty acid-binding protein 4)	FABP4	Pygoscelis papua (Gentoo penguin)	132
A0A0K3AR81	reviewed	UAD2_CAEEL	Chromo domain-containing protein uad-2 (USTC association-dependent 2)	uad-2 CELE_K06A5.1 K06A5.1	Caenorhabditis elegans	696
A0A0K3AUE4	reviewed	SEA2_CAEEL	Signal element on autosome protein 2	sea-2 K10G6.3	Caenorhabditis elegans	1968
A0A0K3AUJ9	reviewed	PRDX_CAEEL	Peroxiredoxin prdx-2 (EC 1.11.1.24) (2-Cys peroxiredoxin 2)	prdx-2 prx2 tag-56 F09E5.15	Caenorhabditis elegans	201
A0A0K3AV08	reviewed	MLK1_CAEEL	Mitogen-activated protein kinase kinase kinase mlk-1 (EC 2.7.11.25) (Mixed lineage kinase homolog 1)	mlk-1 K11D12.10	Caenorhabditis elegans	1059
A0A0K3AXH1	reviewed	ARID1_CAEEL	AT-rich interactive domain-containing protein arid-1	arid-1 Y108G3AL.7	Caenorhabditis elegans	1648
A0A0M4JNZ0	reviewed	OR35_LOCMI	4-vinylanisole receptor (Odorant receptor 35) (LmigOr35)	Or35	Locusta migratoria (Migratory locust)	408
A0A0R4I9Y1	reviewed	R213B_DANRE	E3 ubiquitin-protein ligase rnf213-beta (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-beta) (EC 2.3.2.-) (Mysterin-B) (Mysterin-beta) (RING finger protein 213-B) (RING finger protein 213-beta)	rnf213b	Danio rerio (Zebrafish) (Brachydanio rerio)	5061
A0A0R4IB93	reviewed	UBP48_DANRE	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Ubiquitin specific peptidase 48)	usp48	Danio rerio (Zebrafish) (Brachydanio rerio)	1047
A0A0R4IBK5	reviewed	R213A_DANRE	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha)	rnf213a	Danio rerio (Zebrafish) (Brachydanio rerio)	5209
A0A0R4IDX9	reviewed	NINJ1_DANRE	Ninjurin-1 (Nerve injury-induced protein 1)	ninj1 si:ch1073-278o19.1	Danio rerio (Zebrafish) (Brachydanio rerio)	146
A0A0R4IEW8	reviewed	ELAV4_DANRE	ELAV-like protein 4 (Protein elrD)	elavl4	Danio rerio (Zebrafish) (Brachydanio rerio)	411
A0A0R4IFG5	reviewed	CFA53_DANRE	Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11)	cfap53 ccdc11	Danio rerio (Zebrafish) (Brachydanio rerio)	519
A0A0R4IKJ1	reviewed	CAPAM_DANRE	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (zCAPAM) (Phosphorylated CTD-interacting factor 1)	pcif1	Danio rerio (Zebrafish) (Brachydanio rerio)	721
A0A0R4ILB2	reviewed	FLC2A_DANRE	Choline/ethanolamine transporter flvcr2a (Feline leukemia virus subgroup C receptor-related protein 2 homolog A) (Heme transporter flvcr2a) (Major facilitator superfamily domain containing 7C-a)	flvcr2a Mfsd7c-a	Danio rerio (Zebrafish) (Brachydanio rerio)	470
A0A0R4IMY7	reviewed	TRPM2_DANRE	Transient receptor potential cation channel subfamily M member 2	trpm2	Danio rerio (Zebrafish) (Brachydanio rerio)	1470
A0A0R4IVA4	reviewed	CC14A_DANRE	Dual specificity protein phosphatase CDC14AB (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog AB)	cdc14ab	Danio rerio (Zebrafish) (Brachydanio rerio)	611
A0A0R4IXF6	reviewed	KAT2A_DANRE	Histone acetyltransferase KAT2A (EC 2.3.1.48) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A)	kat2a	Danio rerio (Zebrafish) (Brachydanio rerio)	795
A0A0R4IY06	reviewed	PLAT1_DANRE	Phospholipase A and acyltransferase 1 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4)	plaat1 hrasls zgc:92715	Danio rerio (Zebrafish) (Brachydanio rerio)	179
A0A0R4IZ84	reviewed	EST1A_DANRE	Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog)	smg6 est1a	Danio rerio (Zebrafish) (Brachydanio rerio)	1544
A0A0S4FKT4	reviewed	VSP1_CRODU	Thrombin-like enzyme collinein-1 (SVTLE collinein-1) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP)		Crotalus durissus terrificus (South American rattlesnake)	238
A0A0U1QT59	reviewed	TMC_DROME	Transmembrane channel-like protein	Tmc CG46121	Drosophila melanogaster (Fruit fly)	2036
A0A0U1RRE5	reviewed	NBDY_HUMAN	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	NBDY LINC01420	Homo sapiens (Human)	68
A0A125QXJ1	reviewed	ABCB6_MESAU	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	ABCB6	Mesocricetus auratus (Golden hamster)	842
A0A140LI88	reviewed	ANR31_MOUSE	Ankyrin repeat domain-containing protein 31	Ankrd31	Mus musculus (Mouse)	1857
A0A140LIF8	reviewed	IRGM2_MOUSE	Immunity-related GTPase family M protein 2 (EC 3.6.5.-) (Interferon-inducible GTPase 2)	Irgm2 Iigp2	Mus musculus (Mouse)	395
