Entry	Length	Protein families	Keywords
A0A023VZF1	72	Scoloptoxin-04 family	Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A023VZM6	78	Scoloptoxin-04 family	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A023VZR2	206	Scoloptoxin-08 family	Direct protein sequencing;Disulfide bond;Repeat;Secreted;Signal;Toxin
A0A023W082	78	Scoloptoxin-04 family	Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A023W090	78	Scoloptoxin-04 family	Disulfide bond;Secreted;Signal;Toxin
A0A023W0B6	167	Scoloptoxin-08 family	Cleavage on pair of basic residues;Direct protein sequencing;Pyrrolidone carboxylic acid;Repeat;Secreted;Signal;Toxin
A0A023W0C3	124	Scoloptoxin-08 family	Cleavage on pair of basic residues;Pyrrolidone carboxylic acid;Repeat;Secreted;Signal;Toxin
A0A023W0U0	78	Scoloptoxin-04 family	Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A023W0V6	74	Scoloptoxin-09 family	Disulfide bond;Secreted;Signal;Toxin
A0A023W0V9	167	Scoloptoxin-08 family	Cleavage on pair of basic residues;Pyrrolidone carboxylic acid;Repeat;Secreted;Signal;Toxin
A0A023W0W9	145	Scoloptoxin-08 family	Repeat;Secreted;Signal;Toxin
A0A023W123	78	Scoloptoxin-04 family	Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A023W140	88	Scoloptoxin-XY family	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A023W145	88	Scoloptoxin-XY family	Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A023W157	167	Scoloptoxin-08 family	Cleavage on pair of basic residues;Direct protein sequencing;Pyrrolidone carboxylic acid;Repeat;Secreted;Signal;Toxin
A0A023W163	131	Scoloptoxin-08 family	Cleavage on pair of basic residues;Pyrrolidone carboxylic acid;Repeat;Secreted;Signal;Toxin
A0A023W168	122	Scoloptoxin-08 family	Cleavage on pair of basic residues;Repeat;Secreted;Signal;Toxin
A0A059T2H4	179	Spider toxin CSTX family, Double-CSTX subfamily	Amidation;Direct protein sequencing;Disulfide bond;Knottin;Secreted;Signal;Toxin
A0A059U906	54	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 14 subfamily	Calcium-activated potassium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A059UI21	57	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 26 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
A0A059UI30	91	Long chain scorpion toxin family, Class 1 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
A0A068B0Z6	41	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
A0A068B409	40	Conotoxin A superfamily	3D-structure;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin
A0A068B6Q6	37	Conotoxin A superfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Amidation;Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
A0A088BP94	73	Neurotoxin 10 (Hwtx-1) family	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A0A0V633	71		3D-structure;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A0A0V662	60		3D-structure;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A0A0VBR5	71		3D-structure;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A0A0VBX4	95	Conotoxin D superfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A0B4J184	21		3D-structure;Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
A0A0B4U9L8	614	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily	Calcium;Cell adhesion impairing toxin;Direct protein sequencing;Disulfide bond;Fibrinogenolytic toxin;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Protease;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin;Zinc;Zymogen
A0A0B5A7M7	150	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A0B5A7N1	128	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
